CGU_ID,Text,Subject,Predicate,Object,Actants,Action,Themes,Cluster_Label
CGU_2_001,"These things are accounted. Still it is silent, still it is calm.",primordial world,is,silent and calm,['cosmic setting'],description of primordial state,"['primordial stillness', 'pre-creation']",0
CGU_2_002,"There is not yet one person, one animal, bird, fish, tree, rock, canyon, or meadow.",world,lacks,life and landscape,"['void', 'absence']",negation,"['non-being', 'cosmic emptiness']",0
CGU_2_003,Merely alone sky exists. Not clear its face.,sky,exists,"alone, unclear","['sky', 'undefined cosmos']",isolated existence,"['unformed cosmos', 'indeterminacy']",1
CGU_2_004,"Tree, Rock, Hollow, Canyon, Meadow,.",unknown,unknown,unknown,[],unknown,[],0
CGU_2_005,Forest.,unknown,unknown,unknown,[],unknown,[],0
CGU_2_006,"Merely alone sky exists, Not clear its face earth, Merely alone is spread out sea, Its womb sky everything.","Merely alone sky exists, Not clear its face earth, Merely alone",is,"spread out sea, Its womb sky everything",[],is,[],1
CGU_2_007,"There is not anything Gathered together, It is at rest, Not one stirs, Scattered it is made to be,.",There,is,"not anything Gathered together, It is at rest, Not one stirs, Scattered it is made to be,",[],is,[],0
CGU_2_008,At rest it is made to be in sky.,At rest it,is,made to be in sky,[],is,[],1
CGU_2_009,There was not yet anything that exists standing erect.,There,was,not yet anything that exists standing erect,[],was,[],0
CGU_2_010,"Merely spread out water, Merely tranquil sea, Merely alone it is spread out.","Merely spread out water, Merely tranquil sea, Merely alone it",is,spread out,[],is,[],0
CGU_2_011,There was not yet anything that might exist.,There,was,not yet anything that might exist,[],was,[],0
CGU_2_012,"Merely it is placid, It is silent, In darkness, In night.",Merely it,is,"placid, It is silent, In darkness, In night",[],is,[],0
CGU_2_013,"Merely alone the Framer, Shaper, Sovereign, Quetzal Serpent, They Who Have Borne Children,.","Merely alone the Framer, Shaper, Sovereign, Quetzal Serpent, They Who",Have,"Borne Children,",[],Have,[],2
CGU_2_014,"They Who Have Begotten Sons, Are in water.",They Who,Have,"Begotten Sons, Are in water",[],Have,[],0
CGU_2_015,"Luminous they are, Covered in quetzal feathers, In cotinga feathers.",Luminous they,"are,","Covered in quetzal feathers, In cotinga feathers",[],"are,",[],2
CGU_2_016,This his having been named The Quetzal Serpent.,This his,having,been named The Quetzal Serpent,[],having,[],2
CGU_2_017,"Great sages, Great knowers in their essence.",unknown,unknown,unknown,[],unknown,[],0
CGU_2_018,"Thus surely there is the sky,.",Thus surely there,is,"the sky,",[],is,[],1
CGU_2_019,There is also its Heart Sky.,There,is,also its Heart Sky,[],is,[],1
CGU_2_020,This his name The god as it is said.,This his name The god as it,is,said,[],is,[],0
