chunk_60_id,term_str,n
1,a,1
1,ab'aj,1
1,ab'anel,1
1,actualizada,1
1,ajb'is,1
1,ajna'oj,1
1,ajpu,2
1,ajraxalaq,1
1,ajraxatzel,1
1,ajtz'ib'ab',1
1,al,1
1,alay,1
1,alom,2
1,amaq'il,1
1,apachinaq,1
1,aq,1
1,aq'ab',1
1,aq'ab'al,2
1,are,5
1,are',1
1,b'i,2
1,b'isol,1
1,b'itol,3
1,ch'aqa,1
1,ch'ipakaqulja,1
1,ch'uqunel,1
1,chawaxoq,1
1,che',2
1,che'xik,1
1,chel,1
1,chi,9
1,chik,5
1,chik'istz'uk,1
1,chikop,1
1,cho,2
1,chucha'xik,1
1,chuchaxik,4
1,chupan,1
1,chuxoq,1
1,crítica,1
1,dios,1
1,e,6
1,ewal,1
1,ewaxib'al,1
1,ilb'al,3
1,ilol,1
1,iyom,2
1,ja',3
1,jul,1
1,jun,5
1,jupacha,1
1,juraqan,1
1,k'a,3
1,k'a'm,1
1,k'a'maxik,2
1,k'ajol,1
1,k'ajolom,2
1,k'aslem,4
1,k'iche',6
1,k'iche'laj,1
1,k'im,1
1,k'o,6
1,k'olem,1
1,k'olik,3
1,k'u,1
1,k'u'xla'y,1
1,k'u'xlanel,1
1,k'ut,5
1,k'ute,1
1,kab'awil,1
1,kachamamoq,1
1,kachamanik,1
1,kaj,9
1,kajtz'uk,1
1,kajxukut,1
1,kakotzob'ik,1
1,kamalkab'an,1
1,kamolob'ik,1
1,kamul,2
1,kaqulja,1
1,kar,1
1,kasilob'ik,1
1,katz'ininik,1
1,katz'ininoq,1
1,katz'inonik,1
1,keje,1
1,kina'oj,1
1,kitzij,1
1,kixno'jin,1
1,kristyano'il,1
1,kuk',2
1,la,3
1,li'anik,1
1,lo,1
1,ma,2
1,maja,2
1,majab'i'oq,1
1,mamom,1
1,mamon,1
1,matzanel,1
1,muqutal,1
1,nab'e,5
1,naqi,3
1,nay,1
1,nim,1
1,nimaq,1
1,ojer,4
1,oxib',1
1,pa,7
1,palo,5
1,petenaq,1
1,popo,1
1,popol,1
1,puch,7
1,q'alaj,1
1,q'equ'm,1
1,q'equ'mal,2
1,q'o'l,1
1,q'ukumatz,6
1,q'uq',1
1,qamujib'al,1
1,rachb'ixik,1
1,rachtzijoxik,1
1,ramaq',2
1,raqan,1
1,raxakaqulja,1
1,raxon,1
1,re,3
1,rech,3
1,remanik,3
1,retaxik,1
1,ri,10
1,ri',1
1,ronojel,5
1,rox,1
1,ruk',2
1,rumal,4
1,saq,3
1,saqil,5
1,saqinim,2
1,saqirib'al,1
1,saqiro,1
1,saqtetoj,1
1,siwan,1
1,ta,14
1,taj,1
1,tap,1
1,taq,1
1,tepew,5
1,tinamit,2
1,tolona,1
1,toq'ol,1
1,tz'aqol,3
1,tz'ib'am,1
1,tz'ikin,1
1,tz'ukuxik,1
1,tzij,6
1,tzis,1
1,tzuqul,1
1,ub'i',3
1,ub'inam,1
1,uch'ab'al,1
1,uchan,1
1,uchuch,1
1,uk'u'x,5
1,uk'utunisaxik,1
1,ukab',1
1,ukaj,3
1,ulew,4
1,umej,1
1,upa,3
1,upeyoxik,1
1,uq'alajob'isaxik,1
1,uqajaw,1
1,utikarib'al,1
1,utiw,1
1,utukel,4
1,utz'ukik,1
1,utz'ukukik,1
1,utzij,1
1,utzijoxik,4
1,uwach,2
1,uwinaqirik,1
1,uxe',1
1,uxe'nab'al,1
1,uyuq,1
1,versión,1
1,wa'e,3
1,waral,4
1,wi,11
1,winaq,3
1,winaqirem,2
1,wuch',1
1,wuj,2
1,wujil,1
1,xa,9
1,xax,1
1,xb'an,2
1,xch'aw,1
1,xchiqak'am,1
1,xchiqatikib'a',1
1,xchiqatz'ib'aj,2
1,xchiqelesaj,1
1,xe,1
1,xe'ul,1
1,xeb'isonik,1
1,xecha',1
1,xena'ojinik,1
1,xeriqo,1
1,xkib'an,1
1,xkikuch,1
