chap_num,D,C,E,F,B,A
1,1.2456426934295655,0.7486535943660532,1.2888586270267315,0.7208798925199074,1.0849754221790766,1.050610341202822
2,0.6940493460931614,0.9483653927023128,0.7051330931405738,0.6194142452934664,0.7632605935776774,0.7670476302617427
3,0.7780578130249663,1.039580316977837,0.768269250694305,0.665484047464114,0.8991368804741108,0.7105218115398023
4,0.6665812633198455,1.1935493947379134,0.6492805602961279,0.6577151853782065,0.7023060025874946,0.656889560252571
5,0.7117921699624725,1.1257838538088867,0.7116376235901283,0.6367426422649295,0.7352524773108801,0.7579969677965487
6,0.9842491873294871,0.6837768041363834,0.7841155767911008,0.6797668125059463,0.8073968359717496,0.9302939913191698
7,0.8094787670069988,0.6398037334769963,1.0777600268812244,0.6726653116191469,0.7277549059977698,0.9682170940161603
8,0.7559002373287244,1.1329161072666798,0.7246812712454982,0.6740050545013997,0.619751623148826,0.6359599607562573
9,0.6698582462520384,1.3001009346792645,0.6309565506121925,0.7037516419039264,0.6246311975617307,0.600109782165381
10,1.0418838399400319,0.6485594823698287,1.0242003917247549,0.6968106114319035,0.7208168385455831,0.8033166653074489
11,0.7831557362285807,0.6623956753744166,1.2952486021219718,0.7145538601700652,0.7691829772966968,0.6441316666639019
12,0.6350286628868133,0.5960942186572399,0.9589122021827143,0.6331792245631869,1.1359490701857144,0.6450583669810467
13,1.0026372643863157,0.7111850978926465,0.6607807436580955,0.6692823121502804,0.7999083042947714,0.7152923230904453
14,0.891532339190924,0.691212611356299,0.8490824908224655,0.8194536908663399,0.7663590018958164,0.7097923969710713
15,0.880011574585856,0.6059602428784949,0.934799355121376,0.8852437790545109,0.84633487759612,0.773046094435041
16,0.9381679773250238,0.6955417677136756,0.6978143984943407,0.6728039617798022,0.7372345325523486,0.8399929758725178
17,0.7809746836364143,0.7089259021289427,0.7490139670672118,0.7200209635054131,0.7676687496259925,1.0464048854525272
18,0.747023840381873,0.6674786386176592,0.7307863836715198,0.6700557647183959,0.7129395749777585,1.0932487277290373
19,0.7353351585813069,0.7124696359384389,0.9467145790870606,0.7676152716619186,1.3483059771628407,0.735688393825647
20,0.7104010230701409,0.5804047403686644,1.1740785895407813,0.6698970224100081,0.7273372883429114,0.9930420267896811
21,0.7917308163724802,0.6027917768621115,0.9139290340119864,0.8027262975245937,1.1266849941864163,0.7174703814023017
22,0.858283394931148,0.6898474578155597,0.6320655851967142,0.7215186488095222,0.7117566379408448,0.6461100018433832
23,0.8038590598052787,0.6439866861470096,0.8006006587998956,0.9146475317329358,0.7268531319578959,0.7274632531779479
24,0.6639719909428756,1.0656078275993233,0.6847021714262599,0.9726620062332282,0.6321373254812829,0.5844517059481703
25,0.8314411896374776,0.7164415604207314,0.8049585977594219,0.9098748368573203,0.7346122314004767,0.7307616885783831
26,0.7099981672576091,0.7282084508909179,1.5366061034922167,0.8027427462952006,0.746615727281913,0.7205539466881221
27,0.759202558223008,0.6244365227237836,1.3326102043363552,0.7135137247162121,0.8922995226384202,0.7139735340879899
28,0.8015405420584112,0.6882409457861787,1.364011069075744,0.6870395216242363,0.7905099382278563,0.8633526172657999
29,0.9596294013925531,0.7490734292806459,1.0423025805891684,0.7001050508373696,0.8022601139249191,0.7228965039031381
30,1.224900356974842,0.6422412229520084,0.7890127704617171,0.6864863315436306,0.702706425473488,0.7263019149610298
31,0.9424162151284805,0.6377793068441844,0.6528449312768765,0.6130073533105629,0.7644803267269706,0.714382725717876
32,0.9251310187278823,0.5508779284716232,0.7320171965774482,0.7912349472146125,0.6681607452470474,0.7669314326682685
33,0.561137562472969,1.2850444793801181,0.7201326703512104,0.9464028570790716,0.6612319184865966,0.5668616770285635
34,0.8789969173440827,0.7237976851695496,0.7957642881722886,0.9017049548357006,0.7111667658716669,0.7292471939053773
35,1.0152025655026125,0.6495872171001322,0.6465117246359697,0.7063519638242736,0.672368717353516,0.6910913773563035
36,0.9712023211050007,0.6507129476554423,0.8127662349140379,0.8782752594996984,0.7464571566028656,0.7481233919940702
37,0.7625722863555875,0.57876446757016,0.8627120383938505,1.082864269831209,0.7899680393759843,0.674576628432371
