ana_id|quc|spa|diff
AB'IX|18|17|1
ACHAQ'_IB'OY|1|1|0
AJ|8|10|-2
AJACHE'|2|2|0
AJAL_MES|3|3|0
AJAL_PUJ|7|7|0
AJAL_Q'ANA|7|7|0
AJAL_TOQ'OB|3|3|0
AJAQ_Q'ALEL_NJDOCE|2|0|2
AJAW_AJPOP|0|1|-1
AJAW_AJPOP_K'AMJA|0|1|-1
AJAW_AJTZIK_WINAQ|2|2|0
AJAW_AWILIX|2|2|0
AJAW_JAQAWITZ|2|2|0
AJAW_K'ICHE'|13|15|-2
AJAW_K'OTUJA_NJONCE|1|1|0
AJAW_KICHE|1|0|1
AJAW_LOLMET|2|2|0
AJAW_NIM_CH'OKOJ|3|2|1
AJAW_Q'ALEL|5|4|1
AJAW_Q'ALEL_K'AMJA|1|1|0
AJAW_XIK|3|0|3
AJB'ATENA_JA|0|1|-1
AJB'IS|1|1|0
AJBA'TENA_JA|1|0|1
AJBATENAJA|1|1|0
AJCH'UMILA_JA|1|1|0
AJCH'UT|1|1|0
AJK'UWAL|1|1|0
AJKIB'A_JA|2|2|0
AJLAB'AL|1|1|0
AJLATZAB'|1|1|0
AJMAK|1|1|0
AJMOKEN|1|1|0
AJMOX_WACH|1|1|0
AJMUQULIK_K'U'X|1|1|0
AJPATAN|1|1|0
AJPOP|22|6|16
AJPOP_K'AMJA|17|6|11
AJPOP_SOTZ'IL|1|1|0
AJPOP_XAJIL|1|1|0
AJQ'OL|1|0|1
AJQ'UKUMATZ|2|1|1
AJRAXA_LAQ|2|1|1
AJRAXA_TZEL|2|1|1
AJTOJIL|2|1|1
AJTOLTEKAT|1|1|0
AJTUKUR|1|1|0
AJTZ'ALAM|1|1|0
AJTZ'IKINA_JA|7|7|0
AJTZA|1|1|0
AJTZIK_WINAQ|9|6|3
AJTZIK_WINAQ_AJAW|1|1|0
AJYAMANIK|1|1|0
AJ_KAB'RAQAN|1|1|0
AJ_MAQ'A|0|1|-1
AKUL_WINAQ|1|1|0
ALOM|19|10|9
AMAQ'_TAM|2|2|0
AMAQ'_UQ'IN_K'AT|1|1|0
AQ|3|3|0
AQAJ|2|1|1
ASTAPULUL|1|1|0
AWILIX|33|29|4
B'ALAM|23|21|2
B'ALAM_ KOLOB'|1|2|-1
B'ALAM_AQ'AB'|60|62|-2
B'ALAM_JA|6|3|3
B'ALAM_K'ONACHE'_KQTRES|2|2|0
B'ALAM_KI'TZE'|65|65|0
B'AQ|3|2|1
B'ATE|8|8|0
B'ATZ'A_NJSEIS'|1|1|0
B'ELEJEB'_KEJ_NJCUATRO|2|2|0
B'ELEJEB'_KEJ_NJNUEVE|0|1|-1
B'ELEJEB'_KEJ_NUEVE|1|0|1
B'ELEJEB'_T'ZI'_KQDOCE|1|1|0
B'ITOL|29|22|7
B'OQOTAJINAQ_SANAYEB'|1|1|0
BALAM_KI'TZE|1|0|1
CH'ABI'_TUKUR|2|2|0
CH'ABI_Q'AQ'|1|1|0
CH'AMIYA_BAQ|7|7|0
CH'AMIYA_JOLOM|7|7|0
CH'IPI_KAQULJA|8|8|0
CH'IPI_NANAWAK|1|1|0
CH'ITIK|1|1|0
CH'O|14|15|-1
CHAAJ|31|24|7
CHAAJ'|0|1|-1
CHAJAL_ECHA'|2|1|1
CHAMALKAN|1|1|0
CHAMCHAM|1|0|1
CHAYIM_JA|3|4|-1
CHIMALMAT|6|3|3
CHITEMAJ|1|1|0
CHIYOM|1|1|0
CHI_CHAQ'|1|1|0
CHI_ISMACHI|7|0|7
CHI_ISMACHI'|5|10|-5
CHI_JUNAJPU|1|1|0
CHI_K'IX|2|2|0
CHI_PIXAB'|3|3|0
CHI_Q'AQ'|1|1|0
CHI_RATINIB'AL_TOJIL|4|3|1
CHOLOCHIK_AB'AJ|1|1|0
CHOMI_JA'|2|2|0
CHULIMAL|2|2|0
CHUQ'ANAL|1|1|0
CHUWA_TZ'AQ|1|1|0
CHUWI'_MEQ'ENA'|1|1|0
CHUWI_MEQ'ENA'|1|1|0
DIOS|1|1|0
DONADIU|1|1|0
DON_CRISTÓBAL_NJDOCE|0|1|-1
DON_CRISTÓBAL_NJONCE|1|0|1
DON_JUAN_CORTES_KQCATORCE|1|1|0
DON_JUAN_DE_ROJAS_KQCATORCE|1|1|0
DON_PEDRO_DE_ROBLES_NJTRECE|0|1|-1
EWAB'AL_SIWAN|1|1|0
IB'OY|2|1|1
IK|4|6|-2
IK'OQ'IJ|5|7|-2
