ana_id|n
ixmukane|115
rajawal_xib'alb'a|113
ka'ib'_k'ajolab'|97
junajpu|88
tojil|74
xb'alamq'e|68
jun_junajpu|66
xa_q'ana_jal|66
b'alam_ki'tze'|65
b'alam_aq'ab'|60
ixkik'|59
majuk'utaj|55
wuqub'_kaqix|49
tz'ikin|46
jun_kame'|45
kik'|42
iq'i_b'alam|41
xib'alb'a|36
sipakna|35
wuqub'_kame'|33
usamajel_xib'alb'a|33
awilix|33
tinamit_k'iche'|32
chaaj|31
jaqawitz|31
tz'aqol|29
b'itol|29
wub|28
jun_chowen|27
jun_b'atz|27
ixtaj_ixpuch'|24
kej|24
ixoq_ajawab'|24
b'alam|23
xpiyakok|23
ajpop|22
tamasul|22
kab'raqan|22
wuqub'_junajpu|22
kotz'i'j|21
uk'u'x_kaj|21
ilokab'|21
jaqawitz_juyub'|21
kaweq|20
motz|20
su'|19
k'ajolom|19
alom|19
ab'ix|18
tamub'|18
tulán|18
jun_raqan|17
ajpop_k'amja|17
kuchuma_kik'|16
nija'ib|16
jom|16
sanik|14
ch'o|14
saqi_nim_aq_sis|13
kaqchikeleb'|13
ajaw_k'iche'|13
jal|13
k'ikab'_kqsiete|12
tepew_q'ukumatz|12
palo|12
wa|12
uk'|11
wonon|11
jun_b'atz'_jun_chowen|11
wak|11
sita'l|11
rab'inaleb'|11
koj|10
sotz|10
saqikas|10
pom|10
q'ukumatz_kqcinco|10
kumatz|9
patan|9
kawisimaj_kqsiete|9
nim_ch'okoj|9
q'alel|9
q'oq|9
ixim|9
ajtzik_winaq|9
oxib_ri_nim_ja|8
k'otuja_kqcuatro|8
umul|8
aj|8
mixkina|8
b'ate|8
ch'ipi_kaqulja|8
raxa_kaqulja|8
jun_kame'_wuqub'_kame|8
nakxit|8
ajtz'ikina_ja|7
ch'amiya_jolom|7
ikaj|7
ixpuch'|7
ixtaj|7
uk'u'x_ulew|7
tap|7
chi_ismachi|7
ajal_puj|7
ajal_q'ana|7
ch'amiya_baq|7
suywa|7
tukur|6
chimalmat|6
pusb'al_chaaj|6
pisom_q'aq'al|6
k'otuja_kqcinco|6
b'alam_ja|6
sotz'i_ja|6
k'otal|6
ixb'aqiyalo|6
jun_winaq|6
tz'ite'|6
jun_kame'_wuqub'_kame'|6
q'equma_ja|5
xa'n|5
q'eqa_b'e|5
yak|5
utiw|5
chi_ismachi'|5
kar|5
ajaw_q'alel|5
istayul_kqcuatro|5
kajib'_unim_ja|5
ik'oq'ij|5
yaki|5
k'oy|5
paxil|4
sochoj|4
sis|4
k'anti'|4
xmukane|4
ik|4
chi_ratinib'al_tojil|4
xikiripat|4
kik'_re|4
k'oka'ib_kqdos|4
mak_ek'|4
yachwach|4
q'umarkaj|4
xik|3
chi_pixab'|3
tujal_ja|3
raxa_b'e|3
uch'ab'aja|3
xpurpuweq|3
pam_kaj_upam_ulew|3
kik'_rixk'aq|3
pak'am|3
aq|3
xulu|3
pujuyu'|3
pachq'ab'|3
xmukur|3
popol_wuj|3
